Name;Größe;Vorname;Nachname;Downloads;Datum;Pfad
dummyfile128.fdt;31457280;Merle;Sagehorn;1;"03.07.2025 09:42";data/dummyfile128.fdt
dummyfile128.set;190736;Merle;Sagehorn;1;"03.07.2025 09:42";data/dummyfile128.set
GM_T21.mat;15373774;Merle;Sagehorn;1;"03.07.2025 09:42";data/GM_T21.mat
GM_T22.mat;15390092;Merle;Sagehorn;1;"03.07.2025 09:42";data/GM_T22.mat
GM_T31.mat;15433302;Merle;Sagehorn;1;"03.07.2025 09:42";data/GM_T31.mat
GM_T32.mat;15443826;Merle;Sagehorn;1;"03.07.2025 09:42";data/GM_T32.mat
